id,law_name,article,category,issued_date_raw,issued_date,document_no,title,start_printed_page,end_printed_page,start_physical_page,end_physical_page,keywords,source_quality,completeness_note,body,drive_url,source_url,list_url
interp-0156,護理人員法解釋彙編,第 15 條,〔釋例類別〕 第 3 類 產後護理機構與坐月子中心之區別,102 年5 月7 日,2013-05-07,衛署照字第1022863121號,102 年5 月7 日衛署照字第1022863121 號函請貴局輔導轄,131,131,144,144,護理人員、護理機構、產後護理,參照摘要,彙編中此筆為短摘要或參照其他頁碼，非完整公文全文。,"102 年5 月7 日衛署照字第1022863121 號函請貴局輔導轄
內坐月子中心依護理人員法第 16 條規定轉型為產後護理
機構在案。另該等實際提供相關服務者仍須依前述公告簽
訂契約。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0157,護理人員法解釋彙編,第 15 條,〔釋例類別〕 第 3 類 產後護理機構與坐月子中心之區別,103.11.12,2014-11-12,衛部照字第1030027790號,所詢設立坐月子中心相關疑義一案，復如說明段，請查照,131,132,144,145,護理人員、護理機構、產後護理、傷口,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"103.11.12 衛部照字第1030027790 號函 
主旨：所詢設立坐月子中心相關疑義一案，復如說明段，請查照
。 
說明： 
一、復 貴會 103 年10 月31 日三采麗園字第103103102 號函。 
二、坊間所稱之「坐月子中心」，非法定名稱且非屬護理機構
，其設立非本部依護理人員法核准，係由各地方主管機關
(商業科)辦理營業登記，且其使用之名稱非限定為「坐月
子中心」，但不得為「護理機構」名稱，且不得提供護理
人員法規定之護理人員業務與服務，僅能提供產婦及嬰兒
之生活照顧，故本部於「產後護理機構及坐月子中心定型
化契約應記載及不得記載事項」 明訂坐月子中心之建築物 條 
132 
及其設備應符合建築法規及消防法規有關公共安全之相
關規定；惟坐月子中心之建築物使用類組或消防安全場所
用途分類之規定，仍應依營建及消防各該法令進行認定。 
三、另依護理人員法所設立之產後護理機構，其設置規範應符
合「護理機構分類設置標準」及「護理機構設置或擴充許
可辦法」之規定始得設置，其提供之服務內容，除產後婦
女及嬰兒之基本照顧外，尚提供產婦之傷口護理、嬰兒臍
帶護理、指導母乳哺育、衛生教育等業務，其涉及醫療及
護理業務，故「坐月子中心」與「產後護理機構」，兩者
核准設立及提供之服務內容不同。 
四、至所詢未經區分所有權人會議決議同意，逕行將社區法定
空地規劃入其營業範圍乙節，係屬司法權範疇，如有爭議
，應循司法途徑解決，併為敍明。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0158,護理人員法解釋彙編,第 15 條,〔釋例類別〕 第 3 類 產後護理機構與坐月子中心之區別,106.12.15,2017-12-15,衛部照字第1060137204號,有關貴市政府婦女權益促進委員會第4 屆第 2 次會議，針,132,133,145,146,護理人員、護理機構、產後護理、收費,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"106.12.15 衛部照字第1060137204 號 
主旨：有關貴市政府婦女權益促進委員會第4 屆第 2 次會議，針
對坐月子中心訂定地方自治條例之可行性案提供意見案，
復如說明段，請查照。 
說明： 
一、復貴局 106 年 12 月 6 日南市衛醫字第 1060196548A 號函
。 
二、坊間所稱「坐月子中心」非屬衛生主管機關核准設立，且
非法定名稱，故不得提供護理人員法規定之護理人員業務
與服務，其所提供之服務項目係向地方主管機關(商業科)
辦理營利事業登記坐月子中心，目前並無相關法規規範其
收費標準，惟考量婦嬰照護品質及安全，本部自 102 年起
責請地方政府衛生局對轄區月子中心進行清查及輔導轄內
坐月子中心轉型為產後護理機構為首要目標。 
三、旨揭坐月子中心訂定地方自治條例之可行性案，本部尊重
貴市政府婦女權益促進委員會意見，另建議可參照「臺北
市政府管理到府坐月子服務機構作業要點」，訂定相關管 理機制。 

〔釋例類別〕 第 4 類 是否屬醫療勞務，免徵營業稅",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0159,護理人員法解釋彙編,第 15 條,〔釋例類別〕 第 4 類 是否屬醫療勞務，免徵營業稅,96.1.5,2007-01-05,衛署醫字第0960222704號,有關產後護理機構提供之產後護理服務（包括向產婦或嬰,133,133,146,146,護理人員、護理機構、產後護理、傷口,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"96.1.5.衛署醫字第0960222704 號函 
主旨：有關產後護理機構提供之產後護理服務（包括向產婦或嬰
兒家長所收取之膳食費或服務報酬），應屬「醫務勞務」
範疇，請 查照。 
說明： 
一、依據立法委員李慶安國會辦公室 95 年 12 月 21 日安華字
第 95122101 號函辦理。 
二、查護理人員法第 14 條規定：「為減少醫療資源浪費，因
應連續性醫療照護之需求，並發揮護理人員之執業功能，
得設置護理機構。」次查護理機構設置標準第 3 條規定，
產後護理機構之服務對象為產後未滿 2 個月之產婦及出生
未滿 2 個月之嬰幼兒；另查產後護理機構提供之服務內容
，除因應我國婦女產後調養習俗，產後婦女生活起居及嬰
兒之基本照顧，如準備飲食、清洗衣物等外，尚包括提供
產婦之傷口護理、嬰兒臍帶護理、指導母乳哺餵、衛生教
育等護理業務，業已涉及醫療及護理業務。是以，經衛生
主管機關核准設立之產後護理機構，應可認屬為廣義之「
醫療保健設施」，產後護理機構提供之服務，應屬「醫療
勞務」範疇。 
三、至於坊間「坐月子中心」係因應我國婦女產後調養習俗，
及家庭型態改變致產婦產後乏人照料而衍生之服務事業，
提供產婦膳食或住宿服務，並未涉及產婦產後醫療或護理
服務。是以，「產後護理機構」與一般僅從事產婦膳食或
住宿服務之「坐月子中心」功能不同，併予敘明。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0160,護理人員法解釋彙編,第 15 條,〔釋例類別〕 第 4 類 是否屬醫療勞務，免徵營業稅,96.4.18,2007-04-18,衛署照字第0960057430號,函轉財政部令依「護理機構設置標準」設置之產後護理機 條,133,134,146,147,護理人員、護理機構、產後護理,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"96.4.18.衛署照字第0960057430 號函 
主旨：函轉財政部令依「護理機構設置標準」設置之產後護理機 條 
134 
構，其所提供之產後護理服務，准依加值型及非加值型營
業稅法第 8 條第 1 項第 3 款規定免徵營業稅，並依同法第
29 條規定免辦營業登記，請 查照。 
說明： 
一、依據 96 年4 月13 日台財稅字第09604523030號令辦理。 
二、請積極輔導轄區內尚未立案之「坐月子中心」依「護理機
構設置標準」申請設置產後護理機構。 
（註 ： 本函釋說明一所敍財政部96.4.13.台財稅字第09604523030 號
令，其內容如下： 
一、依「護理機構設置標準」設置之產後護理機構，其所提供
之產後護理服務，准依加值型及非加值型營業稅法第 8 條
第 1 項第3 款規定免徵營業稅 ， 並依同法第29 條規定免辦
營業登記。 
二、本部 94 年 5 月 6 日台財稅字第09404530460 號函，並同時
停止適用。）",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0161,護理人員法解釋彙編,第 8 條,〔釋例類別〕 第 4 類 是否屬醫療勞務，免徵營業稅,99.1.25,2010-01-25,衛署照字第0990061556號,有關一般護理之家是否適用商業會計法、加值型及非加值,134,135,147,148,護理人員、護理之家,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"99.1.25.衛署照字第0990061556 號函 
主旨：有關一般護理之家是否適用商業會計法、加值型及非加值
型營業稅法第 8 條第 1 項第 3 款規定疑義一案，經轉經濟
部核復如附件，請 查照。 
說明：依據經濟部 99 年 1 月 20 日經商字第 09902303480 號函辦
理，並復貴局 98 年 12 月 30 日北衛心字第 0980160405 號
函。 
（註：本函釋說明段所敍經濟部99.1.20.經商字第09902303480 號函 
，其內容如下： 
主旨：關於行政院衛生署函詢有關一般護理之家是否適用商業會計法
一案，復如說明，請 查照。 
說明： 
一、依據本部商業司案陳財政部賦稅署99 年 1 月 14 日台稅二發字
第 09900008240 號函副本辦理。 
二、按商業會計法第2 條第 1 項規定：「本法所稱商業，謂以營利 為目的之事業，其範圍依商業登記法、公司法及其他法律之規
定。」準此，一般護理之家如非以公司、商業組織型態經營者
，自非屬本法所稱之商業；又依其主管機關法令未特別規定者
，自亦無商業會計法之適用。）",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0162,護理人員法解釋彙編,第 15 條,〔釋例類別〕 第 4 類 是否屬醫療勞務，免徵營業稅,99.2.26,2010-02-26,衛署照字第0990063629號,有關一般護理之家是否適用商業會計法、加值型及非加值,135,136,148,149,護理人員、護理機構、產後護理、護理之家,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"99.2.26.衛署照字第0990063629 號函 
主旨：有關一般護理之家是否適用商業會計法、加值型及非加值
型營業稅法第 8 條第 1 項第 3 款規定疑義一案，經轉據財
政部台灣省北區國稅局函復如附件，請 查照。 
說明： 
一、依據財政部台灣省北區國稅局99 年2 月 22 日北區國稅審
四字第 0990002190 號函辦理（附影本及附件）。 
二、有關是否適用商業會計法規定辦理商業會計事務一節，前
經本署99 年1 月25 日衛署照字第0990061556 號函轉經濟
部99 年1 月20 日經商字第09902303480號函諒達。 
（註 ： 本函釋說明一所敍財政部北區國稅局99.2.22.北區國稅審四字
第 0990002190 號函，其內容如下： 
主旨：有關一般護理之家是否適用商業會計法、加值型及非加值型營
業稅法(以下簡稱營業稅法)第 8 條第 1 項第 3 款規定疑義乙案
，復請 查照。 
說明： 
一、依據財政部賦稅署99 年 1 月 14 日稅二發字第09900008240 號
函交 大署 99 年 1 月 6 日衛署照字第0990000021 號函及附件
辦理。 
二、按 「下列貨物或勞務免徵營業稅:……三、醫院、診所、療養院
提供之醫療勞務、藥品、病房之住宿及膳食。」為營業稅法第
8 條第 1 項第 3 款所明定。次按「私人辦理之補習班、幼稚園
、托兒所、養護、療養院(所)，不符合免稅規定者，其所得之
查核準用本辦法。」為執行業務者帳簿憑證設置取得保管辦法
第 2 條第 2 款所規定。又「依『護理機構設置標準』設置之產
後護理機構，其所提供之產後護理服務，准依營業稅法第8 條 條 
136 
第 1 項第3 款規定免徵營業稅 ， 並依同法第29 條規定免辦營業
登記。」「護理人員以個人名義設置護理機構所獲得報酬，與
個人設立幼稚園、托兒所所獲得之報酬並無不同，其所得類別
依所得稅法第 14 條規定，核屬其他所得。」分別為財政部 96
年 4 月 13 日台財稅字第 09604523030 號令及及 96 年 3 月 13
日台財稅字第09604028710 號函所明釋。 
三、參照前揭財政部令釋意旨，倘「一般護理之家」之設置，受「
護理人員法」及相關規定規範， 大署亦認定其為廣義之「醫
療保健設施」，其所提供之護理服務，屬醫療勞務範疇者，免
徵營業稅並免辦營業登記，惟應依法課徵所得稅。 
四、又一般護理機構之所得類別核屬其他所得，雖應依執行業務者
帳簿憑證設置取得保管辦法第1 條第 2 項規定設置會計帳簿憑
證，惟若未依法設帳記載及保存憑證者，稽徵機關得依所得稅
法施行細則第 13 條規定照同業一般收費及費用標準核定其所
得額；至於是否應依商業會計法規定辦理商業會計事務，請逕
向該法主管機關詢問。 
五、隨文檢附執行業務者帳簿憑證設置取得保管辦法1 份供參。）",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0163,護理人員法解釋彙編,第 29 條,〔釋例類別〕 第 4 類 是否屬醫療勞務，免徵營業稅,102.8.16,2013-08-16,衛部照字第1022863803號,有關公立醫院附設護理之家提供之護理服務，是否適用加,136,137,149,150,護理人員、護理機構、產後護理、護理之家、醫療輔助、傷口,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"102.8.16.衛部照字第 1022863803 號函 
主旨：有關公立醫院附設護理之家提供之護理服務，是否適用加
值型及非加值型營業稅法第 8 條第1 項第 3 款規定免徵營
業稅一案，復請 查照。 
說明： 
一、依據 貴局102 年4 月15 日財北國稅審四字第1020014547A
號函辦理。 
二、依護理機構設置標準設置之產後護理機構所提供之產後護
理服務範疇為何？是否包含尿布(片)費用？ 
(一)產後護理機構提供之服務內容，除產後婦女及嬰兒之
基本照顧外，尚提供產婦之傷口護理、嬰兒臍帶護理
、指導母乳哺育、衛生教育等業務，業已涉及護理業
務。爰護理機構所提供之服務內容範疇，依法可執行 前開護理業務，提供護理照護服務項目。 
(二)至產後護理機構提供護理照護服務是否包含尿布 (片
)乙節，應視該服務係 因專業需求或一般生活照顧所
衍生而定；所述尿布需求應屬後者。 
三、有關現行公立醫院附設一般護理之家所提供之護理服務範
疇為何？得否認屬醫療勞務之範疇？該護理服務是否包含
尿布(片)費用乙節，說明如下： 
(一)護理之家提供之服務內容，依據護理人員法第 24 條
規定：護理人員之業務如下：一、健康問題之護理評
估。二、預防保健之護理措施。三、護理指導及諮詢
。四、醫療輔助行為。前項第四款醫療輔助行為應在
醫師之指示下行之。護理機構所提供之服務內容範疇
，依法可執行前開護理業務，提供住民護理照護服務
項目。 
(二)上開所稱醫療輔助行為範疇，係屬醫療勞務，惟其提
供服務之項目，仍應視契約所訂之內容而定。 
(三)至一般護理之家提供護理服務是否包含尿布 (片)乙 
節，應視該服務係因專業需求或一般生活照顧所衍生
而定，尿布需求應屬後者。 
四、前開護理服務（含一般及產後護理）如有部分費用（例如
尿布、尿片等）未包含於護理服務費用內，或依其使用量
，按使用者付費方式另行收取者，得否認屬護理服務範疇
乙節，綜上說明，護理機構（含一般及產後護理）之尿布
、尿片等逕依上開原則認定。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0164,護理人員法解釋彙編,第 15 條,〔釋例類別〕 第 4 類 是否屬醫療勞務，免徵營業稅,102.10.31,2013-10-31,衛部照字第1021580843號,有關依護理機構分類設置標準設置之產後護理機構提供之,137,139,150,152,護理人員、護理機構、產後護理、執業執照、開業、收費、停業、歇業、廣告,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"102.10.31 衛部照字第1021580843 號函 
主旨：有關依護理機構分類設置標準設置之產後護理機構提供之
護理勞務是否屬醫療勞務範疇，復如說明段，請 查照。 
說明： 
一、復 貴部102 年10 月16 日台財稅字第10204668130號函。 
二、查護理人員法第 18 之 1 條規定「護理機構廣告，其內容 條 
138 
以左列事項為限：一、護理機構之名稱、開業執照字號、
地址、電話及交通路線。二、負責護理人員之姓名、性別
、學歷、經歷、護理人員證書及執業執照字號。三、業務
項目及執業時間。四、開業、歇業、停業、復業、遷移及
其年、月、日。五、其他經中央主管機關公告容許事項。
」，至貴部來函所述「現行產後護理機構強調其規模及服
務如休閒渡假飯店」乙節，如以廣告方式宣傳，已非屬產
後護理機構業務項目 ， 應依同法第32 條 「處新台幣一萬五
千元以上十五萬元以下罰鍰，並得限期令其改善；屆期未
改善或情節重大者，處一個月以上一年以下之停業處分或
廢止其開業執照」規定論處。 
三 、 另產後護理機構收費標準核定係依護理人員法第21 條第 1
項規定：「護理機構之收費標準，由直轄市、縣(市)主管
機關核定之。」如有提供非收費項目的服務內容，應依違
反本法第 21 條第 2 項 「護理機構不得違反收費標準 ， 超額
收費」 規定，依本法第36 條之規定，處新台幣1 萬 5 千元
以上 15 萬元以下罰鍰……，並應限期退還超額收費。 
四、查護理人員法第 14 條規定「為減少醫療資源浪費，因應
連續性醫療照護之需求，並發揮護理人員之執業功能，得
設置護理機構。」 次查醫療法第31 條第 3 項規定： 「醫療
法人經中央主管機關及目的事業主管機關之許可，得附設
護理機構……。設立條件、程序及其他相關事項，仍依各
該相關法規之規定辦理」，爰依護理機構分類設置標準第
3 條規定，產後護理機構之服務對象為產後未滿二個月之
產婦及出生未滿二個月之嬰幼兒。是以由衛生主管機關核
准設立之產後護理機構所提供之護理服務，係因醫療照護 
需求所衍生之照護服務，仍屬醫療勞務之範疇；惟產後護
理機構所提供之服務若係因一般生活照顧所衍生，則非屬
醫療勞務之範疇。 
102.12.18 衛部照字第 1021581296Ａ號函 主旨：有關產後護理機構收費項目訂定「醫療勞務」及「一般生
活照顧」範疇乙案，詳如說明段，請查照。 
說明： 
一、復財政部 102 年 11 月 5 日台財稅字第 10204679190 號函
。 
二、本部於102 年 11 月 29 日召開「研商護理機構提供服務與
醫療勞務範圍會議」，會中邀請財政部、衛生局、專家學
者及護理機構等代表出席。有關產後護理機構收費項目包
括「醫療勞務」及「日常生活照顧」兩類，其中屬「醫療
勞務」係包括護理費（含護理評估、護理指導及處置等）
、住房費、醫療診療及諮詢費等；日常生活服務費用則包
括：嬰兒奶粉及尿布、清潔衛生用品及一般飲食等；地方
衛生主管機關於核定護理機構收費項目，應能判別上述項
目之類別。 
三、惠請各直轄市及縣市衛生局轉知所轄產後護理機構於提供
服務及收取費用時，應掣給收據並載明提供服務項目及收
費金額，且項目內容是可判別屬「醫療勞務」或「日常生
活照顧」，以確保民眾權益。",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
interp-0165,護理人員法解釋彙編,第 16 條,〔釋例類別〕 第 4 類 是否屬醫療勞務，免徵營業稅,89.10.18,2000-10-18,衛署醫字第089012011號,所詢 85 年以前申請設立安養或護理之家，應否聘用專業,139,140,152,153,護理人員、護理機構、護理之家、開業,彙編節錄,108年彙編多數未保留正本、副本或署名欄；本筆已依下一封函或下一條文邊界切分。,"89.10.18.衛署醫字第089012011 號函 
主旨：所詢 85 年以前申請設立安養或護理之家，應否聘用專業
護理人員，如在醫院或診所附設，是否可以免予另外申請
許可？85 年 5 月以後 ， 對於護理之家或安養中心之設立條
件是否有所改變乙案，復請 查照。 
說明： 一、復 貴院89 年8 月25 日中分義民風決字第12934號函。 
二、依護理人員法第 16 條規定：護理機構之設置或擴充，應
先經申請主管機關許可。同法施行細則第 8 條規定：護理
機構設置或擴充規模在 49 床以下者 ， 由地方主管機關許可
；50 床以上者，應報由中央主管機關許可。上項規定於87
年 9 月 9 日修正為 300 床以上者，始需報由中央主管機關
許可。 
三、護理機構之開業，依護理人員法第 17 條規定，應向所在
地直轄市或縣(市)主管機關申請核准登記，發給開業執照
。醫院或診所如欲附設護理之家，應依護理人員法相關規
定辦理。 
四、護理機構設置標準原規定，每 10 床至少應配置有 1 名護
理人員 ，87 年 6 月 17 日以後則修正為每 15 床至少應配置
有 1 名護理人員。 
五、至於安養機構之設立規定，請向內政部洽詢。 
六、檢送護理人員法及其施行細則乙本，請卓參。 
（註：本函釋說明二末段所敘「上項規定於 87 年 9 月9 日修正為300
床以上者，始需報由中央主管機關許可」乙節，其中「300 床」
係「100 床」之誤植。）",https://drive.google.com/file/d/1IEo7JO0CoxnfXCeiRm87BLzYfexqwZH7/view?usp=drivesdk,,
